Question,Answer
가이드로 활동하려면 어떻게 시작하나요?,"회원가입 시 가이드 역할을 선택해 가입하시면 됩니다. 가입 즉시 가이드 대시보드를 이용할 수 있으며 프로필 작성과 투어 등록 후 활동을 시작하실 수 있습니다."
가이드 가입 절차가 궁금해요,"이름, 이메일, 비밀번호를 입력하고 약관에 동의한 뒤 가이드 역할을 선택해 가입하시면 됩니다. 이메일 인증을 완료하면 바로 가이드 대시보드를 이용할 수 있습니다."
가이드 지원하기는 어디서 하나요?,"메인 화면과 푸터에 있는 가이드 지원하기 경로를 통해 가입하실 수 있습니다. 회원가입 시 가이드 역할을 선택하시면 됩니다."
회원가입할 때 가이드 역할은 어떻게 선택하나요?,"회원가입 화면에서 가이드 역할을 선택해 가입하시면 됩니다. 메인 화면이나 푸터의 가이드 지원하기 경로를 이용하셔도 됩니다."
가이드 가입비가 있나요?,"가입비와 등록비는 전혀 없습니다. 수수료는 예약이 성사된 경우에만 발생합니다."
등록비나 월 이용료를 내야 하나요?,"아니요, 등록비와 월 이용료는 없습니다. 예약이 성사된 경우에만 등급별 수수료가 발생합니다."
가입에 필요한 정보는 무엇인가요?,"이름, 이메일, 비밀번호(6자 이상)와 약관 동의가 필요합니다. 구글이나 카카오 소셜 계정으로도 가입할 수 있으며 이메일 인증이 필요합니다."
비밀번호 조건이 있나요?,"비밀번호는 6자 이상으로 설정하셔야 합니다."
소셜 계정으로도 가입할 수 있나요?,"네, 구글 또는 카카오 소셜 계정으로 가입하실 수 있습니다."
카카오 계정으로 가이드 가입이 되나요?,"네, 카카오 소셜 가입이 가능합니다. 가입 시 가이드 역할을 선택해 주세요."
구글 계정으로 가입 가능한가요?,"네, 구글 소셜 계정으로 가입하실 수 있습니다. 가입 시 가이드 역할을 선택하시면 됩니다."
이메일 인증을 꼭 해야 하나요?,"네, 가입 시 이메일 인증이 필요합니다. 인증을 완료하셔야 정상적으로 서비스를 이용할 수 있습니다."
이미 여행자로 가입했는데 가이드로 전환할 수 있나요?,"여행자 계정과 가이드 계정은 별도로 운영됩니다. 가이드로 활동하시려면 가이드용 계정을 새로 만들어 주세요."
여행자 계정과 가이드 계정을 같이 쓸 수 있나요?,"두 계정은 별도로 운영되어 하나의 계정으로 함께 사용할 수 없습니다. 가이드 활동을 원하시면 가이드용 계정을 새로 가입해 주세요."
가입하면 바로 활동할 수 있나요?,"네, 가입 즉시 가이드 대시보드를 이용할 수 있습니다. 프로필을 작성하고 투어를 등록하면 활동을 시작하실 수 있습니다."
가이드 가입 시 어떤 개인정보를 수집하나요?,"개인정보처리방침상 필수 항목은 이메일, 비밀번호, 이름, 연락처, 신분증 사본, 계좌정보, 자격증명입니다. 구사 언어와 자기소개는 선택 항목입니다."
신분증을 꼭 제출해야 하나요?,"네, 개인정보처리방침상 가이드의 신분증 사본은 필수 수집 항목입니다. 관련 서류 제출은 고객센터(support@guidematch.com)를 통해 안내받으실 수 있습니다."
계좌정보는 왜 필요한가요?,"투어 완료 후 정산 대금을 지급하기 위해 필요합니다. 계좌정보는 가이드 필수 수집 항목에 포함됩니다."
자격증명이란 무엇을 말하나요?,"가이드 활동과 관련된 자격을 증명하는 자료를 말하며 개인정보처리방침상 필수 수집 항목입니다. 자격증 업로드 전용 화면은 아직 없으므로 고객센터를 통해 제출해 주세요."
구사 언어 입력은 필수인가요?,"구사 언어는 선택 수집 항목입니다. 다만 프로필에 구사 언어를 등록하면 여행자가 가이드를 선택할 때 도움이 됩니다."
가입 후 가장 먼저 무엇을 해야 하나요?,"가이드 프로필을 작성하고 투어 관리에서 투어 상품을 등록해 주세요. 프로필과 투어가 준비되면 여행자의 예약 요청을 받을 수 있습니다."
