Question,Answer
가이드매치는 어떤 서비스인가요?,"가이드매치(GuideMatch)는 한국 여행 가이드 매칭 플랫폼입니다. 여행자가 가이드를 직접 검색하고 선택해 예약 요청을 보내면 가이드가 수락한 뒤 결제하고 투어를 진행하는 방식입니다."
GuideMatch는 무엇을 하는 플랫폼인가요?,"GuideMatch는 여행자와 한국 여행 가이드를 연결해 주는 매칭 플랫폼입니다. 가이드 검색부터 예약, 결제, 리뷰 작성까지 한 곳에서 이용하실 수 있습니다."
서비스 이용 절차가 어떻게 되나요?,"가이드를 검색해 선택한 뒤 예약을 요청하고, 가이드가 수락하면 결제를 진행합니다. 투어가 끝나면 리뷰를 작성하실 수 있습니다."
가이드매치는 어떻게 이용하나요?,"메인 페이지에서 지역과 날짜, 인원을 입력해 가이드를 검색하고 마음에 드는 가이드에게 예약을 요청하세요. 가이드가 수락하면 결제 후 투어가 확정됩니다."
처음 이용하는데 전체 흐름을 알려주세요,"가이드 검색과 선택, 예약 요청, 가이드 수락, 결제, 투어 진행, 리뷰 작성 순서로 진행됩니다. 궁금한 점은 챗봇이나 고객센터에 언제든 문의해 주세요."
사이트에서 영어도 지원하나요?,"네, 가이드매치는 한국어와 영어를 지원하며 사이트에서 언어를 전환할 수 있습니다."
지원 언어는 무엇인가요?,"가이드매치 사이트는 한국어와 영어를 지원합니다. 사이트에서 원하는 언어로 전환해 이용하실 수 있습니다."
언어 설정은 어디서 바꾸나요?,"사이트에서 한국어와 영어 간 언어 전환이 가능합니다. 원하시는 언어를 선택해 이용해 주세요."
운영하는 회사가 어디인가요?,"가이드매치는 (주)가이드매치가 운영하고 있습니다. 문의 사항은 고객센터(support@guidematch.com)로 연락해 주세요."
고객센터 이메일 주소가 뭔가요?,"고객센터 이메일은 support@guidematch.com입니다. 영업일 기준 1~2일 내에 이메일로 답변을 드립니다."
외국인 여행자도 이용할 수 있나요?,"네, 외국인도 이메일만 있으면 가입할 수 있습니다. 사이트는 영어를 지원하며 해외 결제는 PayPal로 가능합니다."
가이드매치 이용에 별도 비용이 드나요?,"투어 예약 시 해당 투어 금액을 결제하시면 됩니다. 그 외 비용 관련 자세한 사항은 고객센터(support@guidematch.com)로 문의해 주세요."
가이드가 자동으로 배정되나요?,"아니요, 가이드매치는 자동 배정 방식이 아닙니다. 여행자가 직접 가이드를 비교하고 선택해 예약을 요청하는 방식입니다."
모바일 앱이 있나요?,"현재 별도의 모바일 앱은 지원되지 않으며 웹사이트를 통해 이용하실 수 있습니다. 자세한 사항은 고객센터(support@guidematch.com)로 문의해 주세요."
어느 지역의 투어를 이용할 수 있나요?,"가이드매치는 한국 여행 가이드 매칭 플랫폼으로, 검색바에서 원하는 한국 내 지역을 입력해 해당 지역에서 활동하는 가이드를 찾을 수 있습니다."
투어가 끝나면 무엇을 하나요?,"투어가 완료되면 해당 예약에 대해 별점과 텍스트로 리뷰를 작성하실 수 있습니다. 작성한 리뷰는 가이드 프로필에 표시되고 평점에 반영됩니다."
가이드와 직접 거래하면 안 되나요?,"네, 무통장 입금이나 가이드와의 직접 거래는 금지되어 있습니다. 직거래 시 피해 보호를 받을 수 없으므로 반드시 플랫폼 안전 결제 시스템을 이용해 주세요."
회원가입 없이도 예약할 수 있나요?,"예약과 결제, 리뷰는 회원 계정 기준으로 관리되므로 회원가입 후 이용해 주세요. 가입은 이메일 또는 구글/카카오 소셜 로그인으로 간단하게 할 수 있습니다."
여행자와 가이드 계정이 따로 있나요?,"네, 가입 시 여행자와 가이드 중 역할을 선택하며 여행자와 가이드는 별도 계정으로 운영됩니다."
추천 투어는 어디서 볼 수 있나요?,"메인 페이지에서 추천 투어를 확인하실 수 있습니다. 마음에 드는 투어는 하트 아이콘으로 찜해 두세요."
가이드는 어떻게 검색하나요?,"메인 페이지 검색바에서 지역, 날짜(시작일~종료일), 인원을 입력해 가이드를 검색할 수 있습니다. 검색 결과에서 가이드를 비교하고 선택하세요."
검색할 때 어떤 정보를 입력해야 하나요?,"지역, 날짜(시작일과 종료일), 인원(성인 1명 이상과 어린이)을 입력해 검색합니다."
검색 결과는 어떤 순서로 정렬되나요?,"검색한 지역과 일치하는 가이드가 우선 표시되고, 평점이 높은 순으로 정렬됩니다."
평점 높은 가이드를 먼저 보고 싶어요,"검색 결과는 기본적으로 평점이 높은 순으로 정렬되므로 상단에서 평점 높은 가이드를 먼저 확인하실 수 있습니다."
지역으로 가이드를 찾을 수 있나요?,"네, 메인 페이지 검색바에서 원하는 지역을 입력하면 해당 지역과 일치하는 가이드가 우선 표시됩니다."
날짜를 정하지 않아도 검색할 수 있나요?,"메인 검색바에서는 지역, 날짜(시작일~종료일), 인원을 입력해 검색하도록 되어 있습니다. 원하는 일정을 선택해 검색해 보세요."
어린이 인원도 검색에 포함할 수 있나요?,"네, 검색 시 성인 1명 이상과 함께 어린이 인원을 입력할 수 있습니다."
성인 없이 어린이만으로 검색이 되나요?,"검색 시 인원은 성인 1명 이상이 필요합니다. 성인 인원을 포함해 검색해 주세요."
인원수는 어떻게 입력하나요?,"검색바에서 성인 1명 이상과 어린이 인원을 입력할 수 있습니다."
가이드를 직접 고를 수 있나요?,"네, 가이드매치는 여행자가 가이드를 직접 비교하고 선택하는 방식입니다. 자동 배정이 아니므로 프로필을 살펴보고 마음에 드는 가이드에게 예약을 요청하세요."
